switch_direction,n_switch_trials,post_p_align_mouse,post_p_align_model
0.2->0.8,29,0.7180067950169875,0.5956143335874866
0.5->0.2,1,0.8387096774193549,0.6527833669416366
0.5->0.8,3,0.7472527472527473,0.6262235481005448
0.8->0.2,30,0.6278563656147987,0.6202377220524538
